Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1997","1997","toneladas","213188","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1998","1998","toneladas","210920","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","1999","1999","toneladas","194137","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2000","2000","toneladas","195952","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2001","2001","toneladas","196405","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2002","2002","toneladas","189148","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2003","2003","toneladas","193230","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2004","2004","toneladas","192777","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2005","2005","toneladas","190509","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2006","2006","toneladas","184612","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2007","2007","toneladas","200034","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2008","2008","toneladas","205250","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2009","2009","toneladas","210467","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2010","2010","toneladas","225586","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2011","2011","toneladas","240706","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2012","2012","toneladas","255826","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2013","2013","toneladas","255826","F","Estimación FAO"
"RP","Plaguicidas Uso","840","Estados Unidos de América","5157","Uso Agrícola","1320","Herbicidas","2014","2014","toneladas","255826","F","Estimación FAO"
