Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2002","2002","toneladas","29208","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2003","2003","toneladas","34049","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2004","2004","toneladas","43192","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2005","2005","toneladas","43763","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2006","2006","toneladas","45435","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2007","2007","toneladas","57421","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2008","2008","toneladas","65642","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2009","2009","toneladas","61180","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2010","2010","toneladas","66471","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1309","Insecticidas","2011","2011","toneladas","60614","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
